case_id,case_name,case_type,region,period_start,period_end,time_window_years,phase_label,collapse_outcome,collapse_within_next_window,political_fragmentation,elite_conflict,succession_crisis,legitimacy_crisis,administrative_overload,corruption_governance_failure,social_inequality,social_unrest_rebellion,demographic_pressure,migration_pressure,ethnic_sectarian_fragmentation,urban_decline,fiscal_crisis,taxation_extraction_pressure,trade_disruption,inflation_currency_instability,resource_dependency,agricultural_decline,drought_climate_stress,flood_environmental_shock,temperature_anomaly,ecological_degradation,food_insecurity,external_invasion_pressure,civil_war_internal_conflict,military_overstretch,territorial_loss,institutional_rigidity,adaptive_capacity,logistics_food_storage_resilience,alliance_network_strength,recovery_capacity,data_confidence,source_count,notes
aztec_1500_1525,Aztec Empire,premodern,Mesoamerica,1500,1525,25,collapse,3,0,3,2,3,3,3,2,2,3,9,2,9,3,3,2,2,9,2,2,9,9,9,9,3,3,1,3,3,3,1,1,1,1,medium,6,"Spanish-indigenous coalition warfare, epidemic shock, and subject-polity defection collapse the empire rapidly."
bronze_age_-1300_-1275,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1300,-1275,25,stable,0,0,0,1,9,0,2,9,9,0,9,9,9,0,0,9,2,9,2,9,9,9,9,9,0,1,1,1,0,2,2,2,2,2,low,2,"A highly interconnected palace world persists, but its complexity already depends on vulnerable exchange and administrative systems."
bronze_age_-1275_-1250,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1275,-1250,25,stable,0,0,0,1,9,0,2,9,9,0,9,9,9,0,0,9,2,9,2,9,9,9,9,9,0,1,1,1,0,2,2,2,2,2,low,2,"A highly interconnected palace world persists, but its complexity already depends on vulnerable exchange and administrative systems."
bronze_age_-1250_-1225,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1250,-1225,25,stressed,1,0,1,2,9,1,2,9,9,1,9,1,9,1,1,9,2,9,2,1,1,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,"Trade fragility, pressure on palace systems, and early military stress become more visible across the region."
bronze_age_-1225_-1200,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1225,-1200,25,decline,2,1,2,2,9,2,2,9,9,1,9,2,9,2,1,9,3,9,2,2,2,9,9,9,2,2,1,3,2,2,1,1,1,1,low,4,"Interconnected palace states face escalating trade breakdown, invasion pressure, migration, and food stress."
bronze_age_-1200_-1175,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1200,-1175,25,collapse,3,0,3,2,9,2,2,9,9,1,9,3,9,3,9,9,3,9,2,2,2,9,9,9,2,3,9,3,3,3,1,1,1,1,low,5,The regional crisis peaks as urban systems fail and multiple palace-centered states fragment or disappear.
bronze_age_-1175_-1150,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1175,-1150,25,post-collapse,3,0,3,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,1,1,9,9,9,9,1,9,9,9,2,2,1,1,1,1,low,3,"Post-collapse fragmentation remains severe even as some regions stabilize under new, smaller political formations."
bronze_age_-1150_-1125,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1150,-1125,25,post-collapse,3,0,3,9,9,9,9,9,9,9,9,9,9,2,9,9,2,9,1,1,9,9,9,9,1,9,9,9,2,2,1,1,1,1,low,3,"Post-collapse fragmentation remains severe even as some regions stabilize under new, smaller political formations."
bronze_age_-1125_-1100,Bronze Age Collapse States,ancient,Eastern Mediterranean,-1125,-1100,25,post-collapse,2,0,2,9,9,9,9,9,9,9,9,9,9,2,9,9,1,9,1,1,9,9,9,9,1,9,9,9,2,2,1,1,1,2,low,3,"The collapse horizon has passed, but regional recovery remains uneven and the old palace order has not returned."
byzantine_1000_1025,Byzantine Decline,premodern,Eastern Mediterranean,1000,1025,25,stable,0,0,0,1,1,0,1,9,9,0,9,9,9,0,0,1,0,9,1,9,9,9,9,9,0,1,0,1,0,1,3,3,2,3,medium,3,The empire remains strong before the post-Basil II decline begins.
byzantine_1025_1050,Byzantine Decline,premodern,Eastern Mediterranean,1025,1050,25,stressed,1,0,1,2,2,1,2,9,9,1,9,9,9,1,1,2,1,9,1,1,9,9,9,9,1,2,1,2,1,2,2,2,2,2,medium,4,Post-Basil II succession problems and elite rivalry weaken the military-fiscal core.
byzantine_1050_1075,Byzantine Decline,premodern,Eastern Mediterranean,1050,1075,25,stressed,1,0,1,2,2,1,2,9,9,1,9,9,9,1,1,2,1,9,1,1,9,9,9,9,1,2,1,2,1,2,2,2,2,2,medium,4,Post-Basil II succession problems and elite rivalry weaken the military-fiscal core.
byzantine_1075_1100,Byzantine Decline,premodern,Eastern Mediterranean,1075,1100,25,decline,2,0,1,2,2,1,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,3,2,3,2,2,2,1,1,2,medium,5,Anatolian loss and military strain transform the empire even as partial Komnenian recovery moderates the damage.
byzantine_1100_1125,Byzantine Decline,premodern,Eastern Mediterranean,1100,1125,25,decline,2,0,1,2,2,1,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,3,2,3,2,2,2,1,1,2,medium,5,Anatolian loss and military strain transform the empire even as partial Komnenian recovery moderates the damage.
byzantine_1125_1150,Byzantine Decline,premodern,Eastern Mediterranean,1125,1150,25,decline,2,0,1,2,2,1,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,3,2,3,2,2,2,1,1,2,medium,5,Anatolian loss and military strain transform the empire even as partial Komnenian recovery moderates the damage.
byzantine_1150_1175,Byzantine Decline,premodern,Eastern Mediterranean,1150,1175,25,decline,2,0,1,2,2,1,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,3,2,3,2,2,2,1,1,2,medium,5,Anatolian loss and military strain transform the empire even as partial Komnenian recovery moderates the damage.
byzantine_1175_1200,Byzantine Decline,premodern,Eastern Mediterranean,1175,1200,25,decline,2,1,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,medium,5,Late Komnenian weakening and fiscal strain leave the empire vulnerable before 1204.
byzantine_1200_1225,Byzantine Decline,premodern,Eastern Mediterranean,1200,1225,25,collapse,3,0,3,3,3,3,3,2,2,2,9,2,9,3,3,2,3,9,2,2,9,9,9,9,2,3,2,3,3,3,1,1,1,1,medium,6,"The Fourth Crusade produces imperial fragmentation, territorial loss, and a true collapse of the Byzantine center."
byzantine_1225_1250,Byzantine Decline,premodern,Eastern Mediterranean,1225,1250,25,post-collapse,2,0,2,2,1,2,2,9,9,1,9,2,9,2,2,9,2,9,2,9,9,9,9,9,1,2,1,2,3,2,2,1,1,2,medium,4,"Nicaean recovery and restoration revive imperial institutions, but the empire remains weaker and more fragmented than before."
byzantine_1250_1275,Byzantine Decline,premodern,Eastern Mediterranean,1250,1275,25,post-collapse,2,0,2,2,1,2,2,9,9,1,9,2,9,2,2,9,2,9,2,9,9,9,9,9,1,2,1,2,3,2,2,1,1,2,medium,4,"Nicaean recovery and restoration revive imperial institutions, but the empire remains weaker and more fragmented than before."
byzantine_1275_1300,Byzantine Decline,premodern,Eastern Mediterranean,1275,1300,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,medium,5,"Commercial dependence, fiscal weakness, and renewed external pressure deepen the long post-1204 decline."
byzantine_1300_1325,Byzantine Decline,premodern,Eastern Mediterranean,1300,1325,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,medium,5,"Commercial dependence, fiscal weakness, and renewed external pressure deepen the long post-1204 decline."
byzantine_1325_1350,Byzantine Decline,premodern,Eastern Mediterranean,1325,1350,25,decline,2,0,2,3,2,2,2,2,2,2,9,2,9,2,2,2,2,2,2,1,9,9,9,9,2,2,3,2,3,3,1,1,1,1,medium,5,Civil wars and foreign encroachment intensify late Byzantine fiscal and territorial erosion.
byzantine_1350_1375,Byzantine Decline,premodern,Eastern Mediterranean,1350,1375,25,decline,2,0,2,3,2,2,2,2,2,2,9,2,9,2,2,2,2,2,2,1,9,9,9,9,2,2,3,2,3,3,1,1,1,1,medium,5,Civil wars and foreign encroachment intensify late Byzantine fiscal and territorial erosion.
byzantine_1375_1400,Byzantine Decline,premodern,Eastern Mediterranean,1375,1400,25,decline,2,0,2,3,2,2,2,2,2,2,9,2,9,2,2,2,2,2,2,1,9,9,9,9,2,2,3,2,3,3,1,1,1,1,medium,5,Civil wars and foreign encroachment intensify late Byzantine fiscal and territorial erosion.
byzantine_1400_1425,Byzantine Decline,premodern,Eastern Mediterranean,1400,1425,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,3,2,2,3,2,1,1,1,1,medium,5,The empire survives as a much smaller polity with weak alliances and very limited recovery capacity.
byzantine_1425_1450,Byzantine Decline,premodern,Eastern Mediterranean,1425,1450,25,decline,2,1,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,3,2,2,3,2,1,1,1,1,medium,5,The empire survives as a much smaller polity with weak alliances and very limited recovery capacity.
byzantine_1450_1453,Byzantine Decline,premodern,Eastern Mediterranean,1450,1453,3,collapse,3,0,3,3,3,3,3,2,2,2,9,2,9,3,3,2,2,9,2,2,9,9,9,9,2,3,2,3,3,3,1,1,1,1,medium,6,Final Ottoman conquest ends the Byzantine state after centuries of cumulative decline.
mesopotamian_-2100_-2075,Classic Mesopotamian States,ancient,Mesopotamia,-2100,-2075,25,stable,0,0,0,1,1,0,2,9,9,0,9,9,9,0,0,1,0,9,2,9,9,9,9,9,0,1,0,1,0,1,3,3,2,3,low,2,"Ur III and related systems maintain order, though they remain resource- and infrastructure-dependent."
mesopotamian_-2075_-2050,Classic Mesopotamian States,ancient,Mesopotamia,-2075,-2050,25,stable,0,0,0,1,1,0,2,9,9,0,9,9,9,0,0,1,0,9,2,9,9,9,9,9,0,1,0,1,0,1,3,3,2,3,low,2,"Ur III and related systems maintain order, though they remain resource- and infrastructure-dependent."
mesopotamian_-2050_-2025,Classic Mesopotamian States,ancient,Mesopotamia,-2050,-2025,25,stressed,1,1,1,2,1,1,2,9,9,1,9,9,9,1,1,2,1,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,2,2,low,3,Fiscal and agrarian strain rise before the final Ur III breakdown.
mesopotamian_-2025_-2000,Classic Mesopotamian States,ancient,Mesopotamia,-2025,-2000,25,collapse,3,0,3,3,3,3,3,2,2,2,9,2,9,3,3,2,2,9,2,2,2,9,9,9,2,2,2,3,3,3,1,1,1,1,low,5,"The end of Ur III combines fragmentation, famine risk, external attack, and territorial loss."
mesopotamian_-2000_-1975,Classic Mesopotamian States,ancient,Mesopotamia,-2000,-1975,25,post-collapse,2,0,3,9,9,9,9,9,9,9,9,9,9,2,9,9,1,9,1,1,9,9,9,9,1,9,9,9,2,2,2,1,1,2,low,3,"Post-Ur III fragmentation persists, but institutional continuity and regional recovery remain real."
mesopotamian_-1975_-1950,Classic Mesopotamian States,ancient,Mesopotamia,-1975,-1950,25,post-collapse,2,0,3,9,9,9,9,9,9,9,9,9,9,2,9,9,1,9,1,1,9,9,9,9,1,9,9,9,2,2,2,1,1,2,low,3,"Post-Ur III fragmentation persists, but institutional continuity and regional recovery remain real."
mesopotamian_-1950_-1925,Classic Mesopotamian States,ancient,Mesopotamia,-1950,-1925,25,stressed,1,0,3,2,9,1,2,9,9,1,9,9,9,1,1,9,1,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,The Isin-Larsa world is politically fragmented yet still economically interactive and regionally resilient.
mesopotamian_-1925_-1900,Classic Mesopotamian States,ancient,Mesopotamia,-1925,-1900,25,stressed,1,0,3,2,9,1,2,9,9,1,9,9,9,1,1,9,1,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,The Isin-Larsa world is politically fragmented yet still economically interactive and regionally resilient.
mesopotamian_-1900_-1875,Classic Mesopotamian States,ancient,Mesopotamia,-1900,-1875,25,stressed,1,0,3,2,9,1,2,9,9,1,9,9,9,1,1,9,1,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,The Isin-Larsa world is politically fragmented yet still economically interactive and regionally resilient.
mesopotamian_-1875_-1850,Classic Mesopotamian States,ancient,Mesopotamia,-1875,-1850,25,stressed,1,0,3,2,9,1,2,9,9,1,9,9,9,1,1,9,1,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,The Isin-Larsa world is politically fragmented yet still economically interactive and regionally resilient.
mesopotamian_-1850_-1825,Classic Mesopotamian States,ancient,Mesopotamia,-1850,-1825,25,stressed,1,0,2,2,9,1,2,9,9,1,9,9,9,1,1,9,2,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,Fragmented but adaptive interstate competition persists before Hammurabi's reconsolidation.
mesopotamian_-1825_-1800,Classic Mesopotamian States,ancient,Mesopotamia,-1825,-1800,25,stressed,1,0,2,2,9,1,2,9,9,1,9,9,9,1,1,9,2,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,Fragmented but adaptive interstate competition persists before Hammurabi's reconsolidation.
mesopotamian_-1800_-1775,Classic Mesopotamian States,ancient,Mesopotamia,-1800,-1775,25,stressed,1,0,2,2,9,1,2,9,9,1,9,9,9,1,1,9,2,9,2,1,9,9,9,9,1,2,1,2,1,2,2,2,1,2,low,3,Fragmented but adaptive interstate competition persists before Hammurabi's reconsolidation.
mesopotamian_-1775_-1750,Classic Mesopotamian States,ancient,Mesopotamia,-1775,-1750,25,stable,1,0,1,2,1,0,2,9,9,0,9,9,9,0,0,1,0,9,1,9,9,9,9,9,0,1,0,2,0,1,3,3,2,3,low,2,Hammurabi's reconsolidation temporarily lowers fragmentation without eliminating longer-term structural vulnerability.
mesopotamian_-1750_-1725,Classic Mesopotamian States,ancient,Mesopotamia,-1750,-1725,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,1,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,low,4,"Post-Hammurabi contraction brings renewed internal conflict, urban weakening, and territorial loss."
mesopotamian_-1725_-1700,Classic Mesopotamian States,ancient,Mesopotamia,-1725,-1700,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,1,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,low,4,"Post-Hammurabi contraction brings renewed internal conflict, urban weakening, and territorial loss."
mesopotamian_-1700_-1675,Classic Mesopotamian States,ancient,Mesopotamia,-1700,-1675,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,low,4,"Late Old Babylonian weakness grows, but the final sack falls just beyond the dataset's last window."
mesopotamian_-1675_-1650,Classic Mesopotamian States,ancient,Mesopotamia,-1675,-1650,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,low,4,"Late Old Babylonian weakness grows, but the final sack falls just beyond the dataset's last window."
mesopotamian_-1650_-1625,Classic Mesopotamian States,ancient,Mesopotamia,-1650,-1625,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,low,4,"Late Old Babylonian weakness grows, but the final sack falls just beyond the dataset's last window."
mesopotamian_-1625_-1600,Classic Mesopotamian States,ancient,Mesopotamia,-1625,-1600,25,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,9,9,9,9,2,2,2,2,2,2,1,1,1,1,low,4,"Late Old Babylonian weakness grows, but the final sack falls just beyond the dataset's last window."
easter_island_1200_1225,Easter Island,premodern,Pacific,1200,1225,25,stable,0,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,1,0,0,9,0,0,1,3,2,9,3,low,2,Early settlement and adaptation do not yet support a clear pre-contact collapse narrative.
easter_island_1225_1250,Easter Island,premodern,Pacific,1225,1250,25,stable,0,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,1,0,0,9,0,0,1,3,2,9,3,low,2,Early settlement and adaptation do not yet support a clear pre-contact collapse narrative.
easter_island_1250_1275,Easter Island,premodern,Pacific,1250,1275,25,stable,0,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,1,0,0,9,0,0,1,3,2,9,3,low,2,Early settlement and adaptation do not yet support a clear pre-contact collapse narrative.
easter_island_1275_1300,Easter Island,premodern,Pacific,1275,1300,25,stable,0,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,1,0,0,9,0,0,1,3,2,9,3,low,2,Early settlement and adaptation do not yet support a clear pre-contact collapse narrative.
easter_island_1300_1325,Easter Island,premodern,Pacific,1300,1325,25,stressed,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,2,0,0,9,0,0,1,3,2,9,3,low,3,"Resource constraints and ecological change increase, but evidence for island-wide collapse remains weak."
easter_island_1325_1350,Easter Island,premodern,Pacific,1325,1350,25,stressed,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,2,0,0,9,0,0,1,3,2,9,3,low,3,"Resource constraints and ecological change increase, but evidence for island-wide collapse remains weak."
easter_island_1350_1375,Easter Island,premodern,Pacific,1350,1375,25,stressed,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,2,0,0,9,0,0,1,3,2,9,3,low,3,"Resource constraints and ecological change increase, but evidence for island-wide collapse remains weak."
easter_island_1375_1400,Easter Island,premodern,Pacific,1375,1400,25,stressed,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,2,0,0,9,0,0,1,3,2,9,3,low,3,"Resource constraints and ecological change increase, but evidence for island-wide collapse remains weak."
easter_island_1400_1425,Easter Island,premodern,Pacific,1400,1425,25,stressed,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,2,0,0,9,0,0,1,3,2,9,3,low,3,"Resource constraints and ecological change increase, but evidence for island-wide collapse remains weak."
easter_island_1425_1450,Easter Island,premodern,Pacific,1425,1450,25,stressed,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,2,0,9,9,9,2,0,0,9,0,0,1,3,2,9,3,low,3,"Resource constraints and ecological change increase, but evidence for island-wide collapse remains weak."
easter_island_1450_1475,Easter Island,premodern,Pacific,1450,1475,25,decline,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,3,1,9,9,9,3,1,0,9,0,0,1,3,2,9,2,low,4,"Regional land-use contraction and ecological change are visible, but warfare and demographic-collapse claims remain debated."
easter_island_1475_1500,Easter Island,premodern,Pacific,1475,1500,25,decline,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,3,1,9,9,9,3,1,0,9,0,0,1,3,2,9,2,low,4,"Regional land-use contraction and ecological change are visible, but warfare and demographic-collapse claims remain debated."
easter_island_1500_1525,Easter Island,premodern,Pacific,1500,1525,25,decline,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,3,1,9,9,9,3,1,0,9,0,0,1,3,2,9,2,low,4,"Regional land-use contraction and ecological change are visible, but warfare and demographic-collapse claims remain debated."
easter_island_1525_1550,Easter Island,premodern,Pacific,1525,1550,25,decline,1,0,9,9,9,9,9,9,1,9,1,0,0,0,9,9,0,9,3,1,9,9,9,3,1,0,9,0,0,1,3,2,9,2,low,4,"Regional land-use contraction and ecological change are visible, but warfare and demographic-collapse claims remain debated."
easter_island_1550_1575,Easter Island,premodern,Pacific,1550,1575,25,decline,2,0,9,9,9,9,9,9,1,9,1,1,0,0,9,9,0,9,3,2,2,9,9,2,2,0,9,0,0,1,2,2,9,2,low,4,Late pre-contact drought and freshwater stress likely intensified an already transformed island system without securely proving total collapse.
easter_island_1575_1600,Easter Island,premodern,Pacific,1575,1600,25,decline,2,0,9,9,9,9,9,9,1,9,1,1,0,0,9,9,0,9,3,2,2,9,9,2,2,0,9,0,0,1,2,2,9,2,low,4,Late pre-contact drought and freshwater stress likely intensified an already transformed island system without securely proving total collapse.
easter_island_1600_1625,Easter Island,premodern,Pacific,1600,1625,25,decline,2,0,9,9,9,9,9,9,1,9,1,1,0,0,9,9,0,9,3,2,2,9,9,2,2,0,9,0,0,1,2,2,9,2,low,4,Late pre-contact drought and freshwater stress likely intensified an already transformed island system without securely proving total collapse.
easter_island_1625_1650,Easter Island,premodern,Pacific,1625,1650,25,decline,2,0,9,9,9,9,9,9,1,9,1,1,0,0,9,9,0,9,3,2,2,9,9,2,2,0,9,0,0,1,2,2,9,2,low,4,Late pre-contact drought and freshwater stress likely intensified an already transformed island system without securely proving total collapse.
easter_island_1650_1675,Easter Island,premodern,Pacific,1650,1675,25,decline,2,0,9,9,9,9,9,9,1,9,1,1,0,0,9,9,0,9,3,2,2,9,9,2,2,0,9,0,0,1,2,2,9,2,low,4,Late pre-contact drought and freshwater stress likely intensified an already transformed island system without securely proving total collapse.
easter_island_1675_1700,Easter Island,premodern,Pacific,1675,1700,25,decline,2,0,9,9,9,9,9,9,1,9,1,1,0,0,9,9,0,9,3,2,2,9,9,2,2,0,9,0,0,1,2,2,9,2,low,4,Late pre-contact drought and freshwater stress likely intensified an already transformed island system without securely proving total collapse.
han_150_160,Han Dynasty Crisis,ancient,East Asia,150,160,10,stressed,1,0,1,2,1,1,2,9,2,1,9,9,9,1,2,2,1,9,1,1,9,9,9,9,1,2,1,2,1,2,2,2,2,2,medium,4,"Late Han court factionalism, land concentration, and frontier burdens weaken but do not yet break the regime."
han_160_170,Han Dynasty Crisis,ancient,East Asia,160,170,10,stressed,1,0,1,2,1,1,2,9,2,1,9,9,9,1,2,2,1,9,1,1,9,9,9,9,1,2,1,2,1,2,2,2,2,2,medium,4,"Late Han court factionalism, land concentration, and frontier burdens weaken but do not yet break the regime."
han_170_180,Han Dynasty Crisis,ancient,East Asia,170,180,10,decline,2,0,2,2,2,2,2,2,2,2,9,1,9,2,2,2,2,9,2,1,1,1,9,9,1,2,2,2,2,2,1,1,1,1,medium,5,Court fragility deepens as environmental stress and fiscal weakness accumulate before the terminal crisis.
han_180_190,Han Dynasty Crisis,ancient,East Asia,180,190,10,decline,2,1,2,3,3,3,3,3,2,3,9,1,9,2,3,2,2,9,2,1,9,9,9,9,2,2,2,3,2,3,1,1,1,1,medium,5,The Yellow Turban revolt and the 189 court crisis push the late Han into acute but not yet final breakdown.
han_190_200,Han Dynasty Crisis,ancient,East Asia,190,200,10,collapse,3,0,3,3,3,3,3,2,2,2,9,2,9,3,3,2,2,9,2,2,9,9,9,9,2,3,3,3,3,3,1,1,1,1,medium,6,"Civil war, warlordism, and Luoyang's destruction mark the collapse of effective central Han authority."
han_200_210,Han Dynasty Crisis,ancient,East Asia,200,210,10,post-collapse,3,0,3,2,1,2,2,9,9,1,9,2,9,2,2,9,2,9,2,9,9,9,9,9,1,2,3,2,3,2,1,1,1,1,medium,4,Central authority remains shattered as regional military regimes dominate the former empire.
